,DateRepConf,Conf
0,2022-01-11,22061
1,2022-01-12,54065
2,2022-01-13,87736
3,2022-01-14,124700
4,2022-01-15,163428
5,2022-01-16,200376
6,2022-01-17,237252
7,2022-01-18,265561
8,2022-01-19,288350
9,2022-01-20,319285
10,2022-01-21,351807
11,2022-01-22,382125
12,2022-01-23,411767
13,2022-01-24,436598
14,2022-01-25,454085
15,2022-01-26,469740
16,2022-01-27,487402
17,2022-01-28,505911
18,2022-01-29,523144
19,2022-01-30,539960
20,2022-01-31,554172
21,2022-02-01,563509
22,2022-02-02,571036
23,2022-02-03,579684
24,2022-02-04,588098
25,2022-02-05,595715
26,2022-02-06,603529
27,2022-02-07,610209
28,2022-02-08,613317
29,2022-02-09,616823
30,2022-02-10,621242
31,2022-02-11,624992
32,2022-02-12,628662
33,2022-02-13,631687
34,2022-02-14,634389
35,2022-02-15,636343
36,2022-02-16,638291
37,2022-02-17,640406
38,2022-02-18,642570
39,2022-02-19,644410
40,2022-02-20,646059
41,2022-02-21,647441
42,2022-02-22,648414
43,2022-02-23,649902
44,2022-02-24,651599
45,2022-02-25,653218
46,2022-02-26,654384
47,2022-02-27,655400
48,2022-02-28,656319
49,2022-03-01,657372
50,2022-03-02,658204
51,2022-03-03,659158
52,2022-03-04,659975
53,2022-03-05,660875
54,2022-03-06,661709
55,2022-03-07,662427
56,2022-03-08,662861
57,2022-03-09,663426
58,2022-03-10,664009
59,2022-03-11,664594
60,2022-03-12,665226
61,2022-03-13,665772
62,2022-03-14,666309
63,2022-03-15,666687
64,2022-03-16,667061
65,2022-03-17,667629
66,2022-03-18,668157
67,2022-03-19,668662
68,2022-03-20,669205
69,2022-03-21,669611
70,2022-03-22,669892
71,2022-03-23,670284
72,2022-03-24,670712
73,2022-03-25,671103
74,2022-03-26,671532
75,2022-03-27,671856
76,2022-03-28,672226
77,2022-03-29,672465
78,2022-03-30,672765
79,2022-03-31,673082
80,2022-04-01,673427
81,2022-04-02,673791
82,2022-04-03,674439
83,2022-04-04,674704
84,2022-04-05,674923
85,2022-04-06,675181
86,2022-04-07,675447
87,2022-04-08,675728
88,2022-04-09,676022
89,2022-04-10,676292
90,2022-04-11,676560
91,2022-04-12,676761
92,2022-04-13,676987
93,2022-04-14,677258
94,2022-04-15,677526
95,2022-04-16,677748
96,2022-04-17,677940
97,2022-04-18,678109
98,2022-04-19,678264
99,2022-04-20,678620
100,2022-04-21,678749
101,2022-04-22,678973
102,2022-04-23,679174
103,2022-04-24,679374
104,2022-04-25,679583
105,2022-04-26,679703
106,2022-04-27,679895
107,2022-04-28,680081
