,DateRepConf,Conf,ConfNew
0,2022-11-01,149,26
1,2022-11-02,890,170
2,2022-11-03,1625,326
3,2022-11-04,2360,385
4,2022-11-05,3542,554
5,2022-11-06,4502,814
6,2022-11-07,5996,1120
7,2022-11-08,6668,1245
8,2022-11-09,7861,1549
9,2022-11-10,9064,1856
10,2022-11-11,10266,2136
11,2022-11-12,11431,2435
12,2022-11-13,13207,2858
13,2022-11-14,14191,3092
14,2022-11-15,15210,3355
15,2022-11-16,15982,3510
16,2022-11-17,17109,3746
17,2022-11-18,18809,4180
18,2022-11-19,19884,4417
19,2022-11-20,20897,4670
20,2022-11-21,21803,4906
21,2022-11-22,22482,5082
22,2022-11-23,23149,5227
23,2022-11-24,24239,5506
24,2022-11-25,25554,5796
25,2022-11-26,27348,6152
26,2022-11-27,28617,6347
27,2022-11-28,29689,6530
28,2022-11-29,30455,6645
29,2022-11-30,31328,6771
30,2022-12-01,32520,6939
31,2022-12-02,33757,7099
32,2022-12-03,34929,7224
33,2022-12-04,36057,7370
34,2022-12-05,37170,7535
35,2022-12-06,38007,7681
36,2022-12-07,38990,7830
37,2022-12-08,40417,8072
38,2022-12-09,41823,8304
39,2022-12-10,42938,8488
40,2022-12-11,44037,8657
41,2022-12-12,45098,8810
42,2022-12-13,45866,8897
43,2022-12-14,46833,9040
44,2022-12-15,47977,9199
45,2022-12-16,49245,9366
46,2022-12-17,50396,9521
47,2022-12-18,51338,9647
48,2022-12-19,52164,9779
49,2022-12-20,52771,9867
50,2022-12-21,53556,9990
51,2022-12-22,54546,10137
52,2022-12-23,55376,10237
53,2022-12-24,56186,10351
54,2022-12-25,56823,10449
55,2022-12-26,57428,10549
56,2022-12-27,57704,10589
57,2022-12-28,57957,10627
58,2022-12-29,58546,10723
59,2022-12-30,59119,10812
60,2022-12-31,59678,10886
61,2023-01-01,60117,10933
62,2023-01-02,60467,10969
63,2023-01-03,60635,10991
64,2023-01-04,60958,11038
65,2023-01-05,61399,11091
66,2023-01-06,61956,11154
67,2023-01-07,62670,11255
68,2023-01-08,63136,11257
69,2023-01-09,63582,11321
70,2023-01-10,63896,11370
71,2023-01-11,64356,11428
72,2023-01-12,64656,11487
73,2023-01-13,65313,11555
74,2023-01-14,65670,11590
75,2023-01-15,65938,11622
76,2023-01-16,66199,11665
77,2023-01-17,66389,11702
78,2023-01-18,66661,11742
79,2023-01-19,66900,11776
80,2023-01-20,67141,11806
81,2023-01-21,67366,11842
82,2023-01-22,67748,11915
83,2023-01-23,67921,11942
84,2023-01-24,68031,11954
85,2023-01-25,68188,11972
86,2023-01-26,68358,11989
87,2023-01-27,68548,12019
88,2023-01-28,68736,12044
89,2023-01-29,68895,12072
90,2023-01-30,69152,12113
91,2023-01-31,69235,12126
92,2023-02-01,69427,12143
93,2023-02-02,69569,12157
94,2023-02-03,69718,12170
95,2023-02-04,69843,12180
96,2023-02-05,69878,12182
97,2023-02-06,70002,12198
98,2023-02-07,70069,12201
99,2023-02-08,70270,12225
100,2023-02-09,70424,12235
101,2023-02-10,70555,12255
102,2023-02-11,70720,12266
103,2023-02-12,70938,12297
104,2023-02-13,71027,12299
105,2023-02-14,71104,12303
106,2023-02-15,71266,12309
107,2023-02-16,71382,12323
108,2023-02-17,71509,12332
109,2023-02-18,71657,12339
110,2023-02-19,71797,12351
111,2023-02-20,71906,12356
112,2023-02-21,71984,12362
113,2023-02-22,72068,12364
114,2023-02-23,72210,12369
115,2023-02-24,72348,12374
116,2023-02-25,72487,12379
117,2023-02-26,72602,12380
118,2023-02-27,72691,12381
119,2023-02-28,72765,12382
120,2023-03-01,72882,12385
121,2023-03-02,73042,12386
122,2023-03-03,73175,12386
123,2023-03-04,73335,12388
124,2023-03-05,73475,12388
125,2023-03-06,73587,12388
126,2023-03-07,73673,12389
127,2023-03-08,73799,12390
128,2023-03-09,73957,12391
129,2023-03-10,74133,12392
130,2023-03-11,74271,12392
131,2023-03-12,74421,12392
132,2023-03-13,74562,12392
133,2023-03-14,74669,12394
134,2023-03-15,74768,12395
135,2023-03-16,75024,12398
136,2023-03-17,75207,12399
137,2023-03-18,75373,12399
138,2023-03-19,75551,12400
139,2023-03-20,75621,12401
140,2023-03-21,75803,12403
141,2023-03-22,75949,12404
142,2023-03-23,76082,12406
143,2023-03-24,76378,12407
144,2023-03-25,76577,12407
145,2023-03-26,76795,12407
146,2023-03-27,77014,12409
147,2023-03-28,77167,12410
148,2023-03-29,77342,12413
149,2023-03-30,77566,12414
150,2023-03-31,77828,12416
151,2023-04-01,78152,12419
152,2023-04-02,78447,12420
153,2023-04-03,78811,12422
154,2023-04-04,79015,12423
155,2023-04-05,79178,12427
156,2023-04-06,79533,12428
157,2023-04-07,79866,12430
158,2023-04-08,80127,12433
159,2023-04-09,80299,12435
160,2023-04-10,80468,12437
161,2023-04-11,80651,12438
162,2023-04-12,80880,12441
163,2023-04-13,81237,12444
164,2023-04-14,81711,12448
165,2023-04-15,82127,12450
166,2023-04-16,82550,12454
167,2023-04-17,82932,12457
168,2023-04-18,83202,12459
169,2023-04-19,83563,12460
170,2023-04-20,84067,12463
171,2023-04-21,84593,12466
172,2023-04-22,85110,12466
173,2023-04-23,85594,12466
174,2023-04-24,86023,12467
175,2023-04-25,86338,12468
176,2023-04-26,86844,12470
177,2023-04-27,87625,12476
178,2023-04-28,88483,12479
179,2023-04-29,88787,12479
180,2023-04-30,90050,12482
181,2023-05-01,91254,12485
182,2023-05-02,92097,12486
183,2023-05-03,92964,12491
184,2023-05-04,94154,12491
185,2023-05-05,95717,12501
186,2023-05-06,97595,12502
187,2023-05-07,99515,12513
188,2023-05-08,101060,12518
189,2023-05-09,102225,12521
190,2023-05-10,103701,12525
191,2023-05-11,105641,12528
192,2023-05-12,107755,12532
193,2023-05-13,109820,12534
194,2023-05-14,111929,12544
195,2023-05-15,113652,12555
196,2023-05-16,114740,12556
197,2023-05-17,116242,12562
198,2023-05-18,118256,12570
199,2023-05-19,120362,12606
200,2023-05-20,122442,12644
201,2023-05-21,124354,12678
202,2023-05-22,125991,12716
203,2023-05-23,126993,12736
204,2023-05-24,128516,12772
205,2023-05-25,130370,12817
206,2023-05-26,132371,12847
207,2023-05-27,134166,12885
208,2023-05-28,136020,12933
209,2023-05-29,137405,12970
210,2023-05-30,138259,12985
211,2023-05-31,139538,13023
212,2023-06-01,141075,13064
213,2023-06-02,142517,13092
214,2023-06-03,143854,13127
215,2023-06-04,145126,13158
216,2023-06-05,146230,13200
217,2023-06-06,146906,13225
218,2023-06-07,147804,13262
219,2023-06-08,148934,13298
220,2023-06-09,150036,13337
221,2023-06-10,150913,13377
222,2023-06-11,151754,13405
223,2023-06-12,152480,13430
224,2023-06-13,152898,13444
225,2023-06-14,153366,13461
226,2023-06-15,153894,13488
227,2023-06-16,154616,13509
228,2023-06-17,155309,13536
229,2023-06-18,156035,13562
230,2023-06-19,156540,13584
231,2023-06-20,156879,13603
